Reason for Exclusion (PICOQ),Explanation,Reference Type,Year,Author,Title,Publication Title,ISBN/ISSN,DOI,URL,Abstract,Volume,Issue,Pages,Keywords,
I,Not a Program,Journal Article,2019,"Eitan, A.; Herman, L.; Fischhendler, I.; Rosen, G.",Community-private sector partnerships in renewable energy,Renewable & Sustainable Energy Reviews,1364-0321,10.1016/j.rser.2018.12.058,https://www.sciencedirect.com/science/article/abs/pii/S1364032118308621?via%3Dihub,"This review brings to the fore the fast-growing and significant phenomenon of community and private sector renewable energy partnerships, which constitute a fundamental building block of the global renewable energy transformation. This paper theoretizes on this issue by identifying six archetypes of local community-private sector renewable energy partnerships, namely knowledge sharing, private finance, local consumption, land seeking, community employment, and lease architypes. These archetypes are discussed with relation to key variables influencing partnership formation and perpetuation as part of the wider discussion regarding renewable energy partnerships between local communities and the private sector and the role they play in energy transition to a low-carbon society.",105,,95-104,Renewable energy; Low carbon society; Partnerships; Local community; Private sector; Decentralization; DECISION-MAKING; LOCAL-COMMUNITIES; BUSINESS MODELS; SOLAR PV; GOVERNANCE; BARRIERS; POWER; POLICY; SUSTAINABILITY; INITIATIVES,"Israeli Ministry of Science, Technology and Space [3-14323]; 0"
I,Not a Program,Journal Article,2016,"Chirambo, D.",Addressing the renewable energy financing gap in Africa to promote universal energy access: Integrated renewable energy financing in Malawi,Renewable & Sustainable Energy Reviews,1364-0321,10.1016/j.rser.2016.05.046,https://www.sciencedirect.com/science/article/abs/pii/S1364032116301563?via%3Dihub,"The Sustainable Energy for All Initiative is a global initiative launched by the United Nations Secretary General in 2012 with a goal of providing universal access to modern energy services by 2030. To achieve this goal, substantial financial and technological investments will be required at a rate far exceeding historical levels. Sub-Saharan Africa has a 30.5% electrification rate and policy reform issues to improve electrification have been poorly implemented thereby sprinkling doubt as to whether the region would be able to achieve 100% access to electricity for all by the year 2030. Sub-Saharan Africa faces a tough challenge in-order to achieve universal access to modern energy services since the region fails to attract energy sector investments. There is also a general perception that the region contributes very little to global greenhouse gas emissions hence offers few opportunities to reduce these emissions consequently missing out on attracting climate finance projects. A guarantee of power purchase has been shown to attract energy sector investments. However, guarantees of power purchases such as Feed-in Tariffs, are experiencing slow market growth in developing countries because of a range of technical, regulatory and financial barriers. Using Malawi as a case study of a developing country, this review provides a perspective from a Sub-Saharan Africa Least Developed Country as to the various electrification, renewable energy deployment and climate change management challenges that still require urgent attention. This study shows that despite the perceived regulatory and financial challenges, Malawi can integrate and use a combination of (adapted) price guarantee schemes, cross subsidies and environmental taxes in -order to support initiatives aimed at supporting the country's development of renewable energy sources and hence indirectly support the Sustainable Energy for All Initiative. (C) 2016 Elsevier Ltd. All rights reserved.",62,,793-803,Climate finance; Clean Development Mechanism (CDM); Feed-in Tariff; (FIT); Millennium Development Goals (MDGs); Rural electrification; Sustainable Energy for All Initiative; CLEAN DEVELOPMENT MECHANISM; DEVELOPING-COUNTRIES; CLIMATE FINANCE; POLICY; CDM; ELECTRIFICATION; TECHNOLOGIES; PARTNERSHIPS; ELECTRICITY; TRANSITION,
P,No Primary Data; Not a Program,Journal Article,2010,"Chaurey, A.; Kandpal, T. C.",Assessment and evaluation of PV based decentralized rural electrification: An overview,Renewable & Sustainable Energy Reviews,1364-0321,10.1016/j.rser.2010.04.005,https://www.sciencedirect.com/science/article/abs/pii/S1364032110001164?via%3Dihub,"The challenges of providing electricity to rural households are manifold. Ever increasing demand-supply gap, crumbling electricity transmission and distribution infrastructure, high cost of delivered electricity are a few of these. Use of renewable energy technologies for meeting basic energy needs of rural communities has been promoted by the Governments world over for many decades. Photovoltaic (PV) technology is one of the first among several renewable energy technologies that was adopted globally as well as in India for meeting basic electricity needs of rural areas that are not connected to the grid. This paper attempts at reviewing and analyzing PV literature pertaining to decentralized rural electrification into two main categories-(1) experiences from rural electrification and technology demonstration programmes covering barriers and challenges in marketing and dissemination; institutional and financing approaches; and productive and economic applications, (2) techno-economic aspects including system design methodologies and approaches; performance evaluation and monitoring; techno-economic comparison of various systems; and environmental implications and life cycle analysis. The paper discusses the emerging trends in its concluding remarks. (c) 2010 Elsevier Ltd. All rights reserved.",14,8,2266-2278,Decentralized rural electrification; Solar Photovoltaics; Tech-economic; comparison; Performance monitoring; SOLAR HOME SYSTEMS; PHOTOVOLTAIC POWER-SYSTEM; PROVIDING ELECTRICITY; ACCESS; CO2 EMISSIONS MITIGATION; LIFE-CYCLE ASSESSMENT; RENEWABLE-ENERGY; VILLAGE ELECTRIFICATION; TECHNOLOGY DEVELOPMENT; ENVIRONMENTAL IMPACTS; GRID ELECTRIFICATION,
I,Not a Program,Journal Article,2019,"Wassie, Y. T.; Adaramola, M. S.",Potential environmental impacts of small-scale renewable energy technologies in East Africa: A systematic review of the evidence,Renewable & Sustainable Energy Reviews,1364-0321,10.1016/j.rser.2019.05.037,,"This paper aims to provide a comprehensive review and analysis of the potential impacts of Small-scale Renewable Energy Technologies (SRETs) in reducing deforestation, forest degradation and carbon emissions in the Eastern African region. A systematic review approach was used to select, critically analyze and synthesize findings of various studies in the region. The review showed that SRETs, if efficiently and uninterruptedly used, could significantly reduce household consumptions of traditional biomass and fossil fuels, and hence, can reduce deforestation, forest degradation and carbon emissions from biomass energy use at household levels. The FAO charcoal to dry wood conversion rate and the IPCC conversion factor of fuelwood from dry weight to CO2 equivalent were used to estimate potential wood fuel and CO(2)e emissions savings. Our conservative estimates based on the analysis of the evidence indicated that domestic biogas and improved cook stoves distributed up to now have a combined potential of saving 0.307-3.100 million tons of wood fuel and 0.562-5.673 million tons of CO(2)e emissions per country per year. However, when compared to the annual biomass energy consumptions of each country, the potential wood fuel savings from the biogas plants and improved cooks-stoves disseminated so far do not appear to offset more than 7.2% of the national demands of the respective countries. The review suggests that building on the household level positive results for scale and lasting impact at national and regional levels requires addressing key policy, technical, financial and sectoral integration barriers.",111,,377-391,Carbon emissions; Deforestation; East Africa; Energy substitution; Small-scale renewable energy technologies; Traditional biomass fuels; IMPROVED COOKING STOVES; BIOGAS TECHNOLOGY; CHARCOAL PRODUCTION; ADOPTION; CONSUMPTION; TANZANIA; KENYA; DEFORESTATION; TRANSITION; DISTRICT,
I,Not a Program,Journal Article,2019,"Jin, Y.; Behrens, P.; Tukker, A.; Scherer, L.",Water use of electricity technologies: A global meta-analysis,Renewable and Sustainable Energy Reviews,13640321 (ISSN),10.1016/j.rser.2019.109391,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072247886&doi=10.1016%2fj.rser.2019.109391&partnerID=40&md5=3298733cb1235e7f04115e26a0726c45; https://pdf.sciencedirectassets.com/271969/1-s2.0-S1364032119X00131/1-s2.0-S1364032119305994/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjECAaCXVzLWVhc3QtMSJIMEYCIQC%2B67Ul0Gfp9zQ41E0xP%2BMi%2BU6k3zhmQbNbLSYppScYywIhAL65oxDVKqEYL8tQ5HocWjmgsCyRMF6hCPvaQKHPpI%2B5KtACCGkQAhoMMDU5MDAzNTQ2ODY1IgxjiHGqU8RApvYSav8qrQLjSpIHeZm8cQz%2FaLUJ1fVzHcc6aSYi6SVl%2FG8xgKNmgOss9JY26dWXyaTGc96inPdKEXpEBNVX5CFcDB7Nbxi8EtsYeS0Gd19QDnYheauOLzf4x2y7vPBERV9ClodultkzcAqFA7CGyKAv9vPMPFsTJCQs1fJBlSfqhKu0lfwtiYQg%2BOClaI2HYD44BCMARPsrlFmVW6As%2F3unasvRQGuskJHim%2FN6kS5YElG1oOp1UrUiSWnCHOPSIUQJxaoEf2XJvRgnLjCxcAlOzrdihkyI7U2mVBrbVmCIxhtpaspTmxKj8Ae5LGbN8TatVJoSr12bGGYpV0wSQFxfuogTTBpcgoYZ7vb8jmBcwq76%2F%2B%2FNiR61GI9Bq7XQSFeGaedvra4vFVBklfRkHBrfvUh8MMqrpu8FOs4CvcAte596IjgTkOtfzlZMrqSC1eRqGj56VfGh%2BKvhzWljEuZXuM5drl6smVtUPEesXi%2FWzRAseIzu4UqqHSYKDzuPqLpfnqEH7D8%2BnBPeOHX7UlCYdehBO3IgZPtPj0oF4tbmIMRPnLtJ49rRZpkDkZBq9uvS%2BHoaRC8tO7mh6mi67t7XjtkCXT2BeLlQBtBrwnh%2FBeNG0lR%2BhIilewtu2HuE4hKa8ktoszEO7DiShFpdLYpc8NQf2T9%2F7sWIwVjqFoIqGgNGXhPisH9Iol50zCmqMDsq0YzfIRmyTYC0Vv%2FXOOPADqwjPFICZd7il7lJGD7zPYrsWSHb7DS6fiSCVzR6RCSh%2BeZjznSV3PPdFqK9CfYSX937IhVFbUOHUpaB1VOUN%2BXWmgSezLJrL1nIwv9SQMTopOt77UmqLWM9s54C8WuonqGGZNbYx82FzQ%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20191206T004931Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYU2G3CEXK%2F20191206%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=c1d53f492988aea4c0578f880010344e417bb4f29acc55e4097be92374ef0a0a&hash=f0eb399c8b2c87963b15cdabdf9e70fcb50d1ff910229034a28faa456ae87071&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S1364032119305994&tid=spdf-3b6db9f3-8057-437c-b3fd-4fc61e85b88f&sid=2cab8b5389c048407459e1a159b2f743f304gxrqb&type=client,"Understanding the water use of power production is an important step to both a sustainable energy transition and an improved understanding of water conservation measures. However, there are large differences across the literature that currently present barriers to decision making. Here, the compiled inventory of the blue water use of power production from existing studies allowed to uncover the characteristics of water use and to investigate current uncertainties. The results show that photovoltaics, wind power, and run-of-the-river hydropower consume relatively little water, whereas reservoir hydropower and woody and herbaceous biomass can have an extremely large water footprint. The water consumption of power production can differ greatly across countries due to different geographic conditions. Only a few studies provided the values for the influencing factors of water use, such as the capacity factor. Values that are reported came mainly from assumptions and other literature rather than direct measurement. Omitting a life cycle stage may lead to significant underestimations. Water scarcity is attracting more attention, but the few existing results are not useable for a regional comparison due to data gaps and inconsistent measurements. In the future, a clear and detailed definition of the water footprint and system boundary of power production is essential to improving comparisons and energy systems modelling. ¬© 2019 The Authors",115,,,Electricity generation; Energy technology; Energy-water nexus; Life cycle assessment; Water footprint; Water scarcity; Artificial life; Decision making; Electric power generation; Hydroelectric power; Life cycle; Reservoirs (water); Water supply; Wind power; Energy technologies; Life Cycle Assessment (LCA); Water conservation,
I,Not a Program,Journal Article,2014,"Urmee, T.; Gyamfi, S.",A review of improved Cookstove technologies and programs,Renewable and Sustainable Energy Reviews,1364-0321,https://doi.org/10.1016/j.rser.2014.02.019,http://www.sciencedirect.com/science/article/pii/S1364032114001300,"Many Cookstove programs have been implemented in many countries around the world. The objectives of these programs have been to reduce fuel use and hence reduce deforestation, and improve the health conditions of users by reducing environmental emissions. Other objectives include improving the social life of people in developing countries and reducing global climate change. The success of improved Cookstove programs has been reported as mixed. While some of the programs have achieved their target objectives, many of them have failed. This paper reviews the literature of improved Cookstove programs around the world. It starts with a review of some selected Cookstove technologies, classified by the types of fuel they burn and whether they are fixed or portable. This is followed by a review of different Cookstove programs, with the objective of finding the factors that determine their success, the form they should take, and the role played by the stakeholders. It is found that the success of the programs depends on the factors such as: compatibility of technical parameters of stoves with social expectations, consistency with local needs and culture, attitude of the users who are often afraid adopting new technology, and the stove cost. Also programs that use a â€œbottom-upâ€� strategy, where users and local artisans play participatory roles in establishing a self-sustaining industry ensure success of the program.",33,,625-635,Improved Cookstove technologies; Rural energy demand; Sustainable fuelwood supply; Developing country×³s energy,
I,Not a Program,Journal Article,2012,"Wang, C.; Yang, Y.; Zhang, Y.","Rural household livelihood change, fuelwood substitution, and hilly ecosystem restoration: Evidence from China",Renewable and Sustainable Energy Reviews,,10.1016/j.rser.2012.01.070,,"This paper systematically analyzes the driving forces and mechanism of fuelwood substitution and related ecological consequences in an under-developed county in rural Southeast China. Based on 358 respondents from rural households in Changting County, as well as additional statistical data, we present strong evidence in support of the argument that changes in the livelihoods of rural households lead to fuelwood substitution and finally, hilly ecosystem restoration. Important factors influencing fuelwood substitution are closely linked with changes in rural livelihoods: off-farm employment and agricultural specialization. Therefore, these changes are argued to be the primary driving force of fuelwood substitution. Reasons include the increasing opportunity costs of fuelwood collection, increases in household income, and decreases in household energy consumption for cooking, feeding and heating. Such changes have unexpectedly caused significant progress in hilly ecosystem restoration, particularly in mitigation of soil erosion and forest degradation. Thus, it is suggested that the progressive change and improvement in the livelihoods of rural households should be included in the mix of policies intended to restore hilly ecosystems.",16,,,,
I,Not a Program,Journal Article,2019,"Vallecha, H.; Bhola, P.",Sustainability and replicability framework: Actor network theory based critical case analysis of renewable community energy projects in India,Renewable and Sustainable Energy Reviews,1364-0321,https://doi.org/10.1016/j.rser.2019.03.053,http://www.sciencedirect.com/science/article/pii/S1364032119301935; https://www.sciencedirect.com/science/article/abs/pii/S1364032119301935?via%3Dihub,"Global concerns for pressing fossil fuel demand with concurrent emissions deliberated India to direct policies for rapid adoption of clean energy methods as sustainable solutions. Responsiveness for affordable electricity access to its residents induced implementation of off-grid and consumer driven energy models like Community Energy (CE), playing significant role in meeting national energy demand in developed countries. It is evident from energy secured nations that centralized planning and electrification is not alone sufficient for meeting energy security. Renewable CE model is predicted to emerge as an effective system of clean energy access to off-grid communities while reducing emissions vividly. In past few years, cases of renewable CE system have been reported in India as well. Hence, it becomes pertinent to assess the extent of CE projects in Indian context, however a comprehensive landscape of such projects is currently lacking. This paper attempts to profile the status of CE projects with their scope and relevance to ensure national energy security. Six diversified case studies of CE projects are analysed by applying actor network theory. Role of community participation in implementation of these projects and its socio-economic impact on localized growth is represented by reviewing detailed case-studies. Qualitative analysis reveals parameters across diversified CE projects in India leading to an assessment framework for sustainable replication in other regions. Insights provide basis to identify associated challenges and incentives with CE projects, policy implications in interest of developers, end users, beneficiaries, promoters and towards emission reduction.",108,,194-208,Community energy; Renewable sources; Energy security; Sustainability,
I,Not a Program,Journal Article,2017,"Sa, A.; Thollander, P.; Cagno, E.",Assessing the driving factors for energy management program adoption,Renewable and Sustainable Energy Reviews,13640321 (ISSN),10.1016/j.rser.2017.02.061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014125725&doi=10.1016%2fj.rser.2017.02.061&partnerID=40&md5=908cd547624023696ea95794ae683a9a; https://www.sciencedirect.com/science/article/abs/pii/S1364032117302812?via%3Dihub,"The concept of energy management (EnM) became a topical issue in industrial settings as a result of the energy crises that affected the global community in the 1970s. However, EnM was not implemented within industry with all its potential to improve energy security, raise the maturity level of EnM and increase sustainability. According to the results of previous empirical investigations, the expected interest in energy programs is not found and there is no clear understanding about program adoption criteria within an industry. Keeping in mind the adoption of energy investment through conformation with financial analysis and choosing the investments through contextual factors in the organization (e.g. organizational energy culture, power relationships, EnM system, expertise availability, managers' mindset) together with characteristics of EnM program as two macro perspectives in energy efficiency literature, this paper aims to understand the main driving factors which lead organizations to either adopt or not adopt a particular program (always with respect to energy management). Moreover, it aims to express the impact of those driving forces of implementing a successful EnM program which could contribute to better understanding of suitable EnM configuration. The investigation has been conducted as a multiple case study involving 15 manufacturing companies of varying size and in different sectors located in Sweden. After analyzing the minimum required steps to establish EnM, assessing the adoption of practices according to their energy strategy, and through assessing EnM maturity level, we found a low level of risk (which arises from lack of certainty and awareness) and the program's alignment with the core business as prominent driving factors for all sizes which foster positive investment decision¬†making through top management. On the contrary, complexity of industry (for large manufacturing companies) and access to capital (for small and medium-sized companies) are the main barriers to adopting those programs. ¬© 2017",74,,538-547,Assessment; Driving factors; Energy efficiency; Energy management; Manufacturing industry; Energy policy; Energy security; Macros; Manufacture; Risk assessment; Empirical investigation; Energy management programs; Investment decisions; Manufacturing companies; Manufacturing industries; Small and medium-sized companies; Investments,
I,Not a Program,Journal Article,2019,"Ray, Manojit; Chakraborty, Basab",Impact of evolving technology on collaborative energy access scaling,Renewable and Sustainable Energy Reviews,1364-0321,https://doi.org/10.1016/j.rser.2019.04.051,http://www.sciencedirect.com/science/article/pii/S1364032119302631; https://www.sciencedirect.com/science/article/abs/pii/S1364032119302631?via%3Dihub,"Worldwide, more than a billion rural dwellers live without electricity. Billions more endure awfully intermittent service even when connected to the grid. Most of these access challenged communities are in the Global South and may benefit from surging spread of distributed energy resources. However, associated investment necessity is large and so is the time required to address infrastructural bottlenecks. Recognising criticality of universal access to affordable, eco-friendly and reliable electricity in inclusive human development, the United Nations adopted ‚Äòaffordable and clean energy' as one of the Sustainable Development Goals. To treasure electricity access, measurement of the same is important. The evolution of electricity access measurement has given rise to multi-tier, multi-parameter matrix. This improved measurement framework has facilitated researchers and policymakers in capturing various electricity access parameters in order to script focused energy strategy for the common man. This paper studies electricity availability, consumer aspiration and prevailing consumption in an impoverished, isolated, high-altitude valley, nestled in the Himalayas in India. It outlines evolving technology-aided, access measurement supported innovative access tier advancement opportunities in the valley. The result underscores the importance of consumer-focused approach for improving infrastructure utilisation. Consumer collaboration may result in fast, economical access advancement. Supply reliability may transform from abrupt complete disruption to gradual, cognisant decay. Such transition may encourage consumers to avoid costly, individual backup and instead use available resources sensibly. Embedding aspiration-supporting nudge in electricity regulation may promote co-operation, helping empowered consumers in scaling access tier affordably.",110,,13-27,Consumer aspiration; Consumption collaboration; Metering; Nudge; Global south,
I,Not a Program,Journal Article,2015,"Pode, R.; Diouf, B.; Pode, G.",Sustainable rural electrification using rice husk biomass energy: a case study of Cambodia,Renewable and Sustainable Energy Reviews,1364-0321,http://dx.doi.org/10.1016/j.rser.2015.01.018,http://www.sciencedirect.com/science/article/pii/S1364032115000283; https://www.sciencedirect.com/science/article/abs/pii/S1364032115000283?via%3Dihub,"The role of energy in overall social and economical developments is well recognized. However, most energy providers are reluctant to venture in rural regions of developing countries. These regions are generally characterized by: low-income populations, minimum access to electricity, rare access to financial services or loans. In this paper we present the potential of rice husk for rural electrification in Cambodia. Rice husk is locally abundant at almost no cost, with a production over 9.3 million tons paddy rice in 2014 for a total population of about 15 million people. The conversion of rice husk into electricity through gasification or thermally generated electricity is a well-known technology. Rice husk can contribute in a sustainable manner to grant access to electricity to Cambodian rural population and is more reliable and competitive with reference to other renewable energy sources of electricity. The present investigation focuses on the study of self-sustaining energy service model to provide grid quality power to rural populations without the need of subsidies. In Cambodia, many rice mills are operating in rural and semi-urban areas. Some of these mills are now using rice husk for electricity production for industries and rural households, generally for lighting at low cost. We believe that the power systems focusing on both power requirements for the industry such rice mills and power requirements for the people living in the neighboring villages/rural areas at affordable tariff could become the most appropriate solution for the sustainable rural electrification. Along with the potential of rice husk for rural electrification in Cambodia, we present a financially viable business model to provide the grid quality power to rural population without grant or subsidy.",44,,530-542,biomass; case studies; economic viability; electricity; renewable energy; rice husks; rural areas; rural population; sustainability,
I,Not a Program,Journal Article,2019,"Pietrosemoli, Licia; Rodríguez-Monroy, Carlos",The Venezuelan energy crisis: Renewable energies in the transition towards sustainability,Renewable and Sustainable Energy Reviews,1364-0321,https://doi.org/10.1016/j.rser.2019.02.014,http://www.sciencedirect.com/science/article/pii/S1364032119301078; https://www.sciencedirect.com/science/article/abs/pii/S1364032119301078?via%3Dihub,"Modern society is aware of the importance of energy, as a fundamental resource for evolution, quality of life and sustainability. It thus dedicates important efforts to take advantage of existing energy sources. Countries have different and unique energy performances depending on the combination of resources, policies, and structures created to exploit them. Some are successful in their attempt to optimize their energy resources while others are not. This is the case of Venezuela, which faces a contradictory energy performance. Despite its substantial available renewable and non-renewable energy resources, it presents a severe energy crisis. This crisis manifests itself in frequent and extended energy blackouts and electricity services alterations, which affect all society. With the aim to propose some solutions, the authors make an attempt to identify the origin of the Venezuelan energy crisis, unexplainable in a country which two decades ago was an indisputable world energy leader. The authors evaluate the relationship among energy and sustainability, the renewable potential existing in Venezuela, as well as some new data and key insights regarding its energy framework. Special reference is made to infrastructure energy projects in Venezuela. The discussion leads to the identification of the structural problems that cause such a crisis and include some recommendations. The authors propose a thorough study of this case in order to consider it as an international reference and to avoid the repetition of similar cases in the future. Finally, an entirely new orientation of the Venezuelan energy framework and the strategies that include the revision of the current energy policies and the management of this sector are proposed. Such proposals are presented to help Venezuela in its transition to a new energy stage in which renewable energy, knowledge and sustainable criteria become the fundamental resources to address the country on its path to sustainability.",105,,415-426,Sustainability; Competitiveness; Energy crisis; Energy transition; Power supply; Infrastructure; Venezuela,
